Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Тимчук,Алевтин,Володимирович,Чоловіча,02.10.1979,Сценарист,селище Жидачів,"шосе Шилова, буд. 35, Сватове, 99190",+380 16 300-58-12,cmykhaliuk@example.com
Харченко,Семен,Миколайович,Чоловіча,03.11.1947,Патологоанатом,місто Новгород-Сіверський,"проспект Остапа Вишні, буд. 61, Луцьк, 56065",055 501 55 47,chabanustym@example.net
Оніщук,Миколай,Аврелійович,Чоловіча,26.01.1948,Музикознавець,хутір Дніпрорудне,"парк Сергія Ядова, буд. 801 кв. 151, Мерефа, 02838",692-08-87,larysakabanenko@example.org
Швачко,Аврелій,Аврелійович,Чоловіча,20.11.2003,Флорист,село Валки ,"узвіз Заводська 5-та, буд. 6, Чуднів, 94274",847 16 22,erika36@example.org
Остапчук,Вʼячеслав,Охрімович,Чоловіча,27.04.1941,Водій,селище Токмак,"шосе Північний, буд. 5 кв. 099, Дунаївці, 09815",056 189 40 43,ciaremenko@example.org
Левченко,Григорій,Орхипович,Чоловіча,19.04.2002,Антрополог,місто Хмільник,"провулок Каманіна, буд. 000, Глиняни, 04509",+380 82 773-51-17,arkadii68@example.net
Фастенко,Алевтин,Олексович,Чоловіча,25.09.1993,Будник,місто Соледар,"узвіз Чубаївська, буд. 0, Кам'янець-Подільський, 96659",+380 81 344-68-32,iosyphuk@example.com
Хмара,Прохір,Костянтинович,Чоловіча,14.01.1994,Публіцист,хутір Антрацит ,"шосе Окружна, буд. 38 кв. 160, Іловайськ, 95225",553 08 19,okhrim30@example.com
Безбородько,Орест,Микитович,Чоловіча,05.09.1996,Професор,місто Червоносів,"проспект Сєченова, буд. 0, Старий Крим, 33653",134 86 59,veniiamyndanchenko@example.net
Демʼянюк,Герман,Орхипович,Чоловіча,20.04.1940,Науковець,селище Красилів,"шосе Василя Кандинського 2-й, буд. 438 кв. 4, Мукачево, 26851",+380 01 925-44-04,hanna32@example.net
Бабариченко,Богодар,Юстимович,Чоловіча,16.03.1956,Гірник,місто Підгородне,"сквер 3-тя Суворовська, буд. 9, Радомишль, 64940",+380 31 606-03-00,vdanchenko@example.org
Даньків,Вадим,Михайлович,Чоловіча,25.06.1945,Візажист,село Моспине,"шосе Суднобудівна, буд. 3, Армянськ, 23776",+380 12 339 79 76,uzhuk@example.com
Яремко,Зиновій,Семенович,Чоловіча,28.09.1945,Детектив,селище Червоносів,"провулок Дубовий гай, буд. 8, Дубно, 22072",+380 46 001-82-31,ilchenkofrants@example.com
Пушкар,Лукʼян,Давидович,Чоловіча,05.04.1992,Бізнесмен,село Ромни,"площа Старокінний, буд. 8, Новоазовськ, 78003",771 14 91,aronetshryhorii@example.org
Гуцуляк,Опанас,Леонтійович,Чоловіча,20.04.1984,Мікробіолог,селище Перещепине,"набережна 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 9 кв. 993, Полтава, 02959",034 659-24-46,liliia84@example.org
Ткач,Юстим,Тарасович,Чоловіча,26.08.1948,Реставратор,хутір Мена ,"набережна Архітектурна, буд. 1 кв. 797, Буськ, 13180",+380 (80) 667-49-34,mdevdiuk@example.org
Євтушок,Богуслав,Устимович,Чоловіча,24.03.1964,М'ясник,селище Білозерське,"шосе Луцька, буд. 26, Берегове, 49098",303 37 14,artembaranets@example.net
Чалий,Ігнат,Омелянович,Чоловіча,12.07.1961,Кінокритик,село Ясинувата,"шосе Український 2-й, буд. 0, Судова Вишня, 12659",+380 (87) 574-75-90,mariia01@example.net
Зарудний,Сергій,Володимирович,Чоловіча,02.10.1999,Мікробіолог,хутір Київ,"проспект Скляна, буд. 5, Стрий, 87000",+380 77 184 86 86,sviatoslava95@example.com
Венгринович,Святослав,Едуардович,Чоловіча,14.09.1999,Сценарист,хутір Куп'янськ,"вулиця Змієнка Всеволода, буд. 3, Торецьк, 45210",+380 98 302-46-21,emakarenko@example.org
Свистун,Максим,Миколайович,Чоловіча,11.08.1987,Золотар,хутір Новоград-Волинський,"провулок Ямчитського, буд. 20, Канів, 92482",+380 03 793-99-77,viktoriiaaverchenko@example.org
Жарко,Станіслав,Владиславович,Чоловіча,29.05.1947,Дантист,місто Сімферополь,"парк Сергія Ядова, буд. 533 кв. 8, Жовква, 58657",+380 (20) 491-18-59,zarubavioletta@example.org
Лесик,Мартин,Бориславович,Чоловіча,28.11.2005,Астроном,місто Хуст,"проспект Транспортна, буд. 8, Ізмаїл, 24705",+380 75 701 10 98,iabramchuk@example.net
Кириленко,Герман,Алевтинович,Чоловіча,14.09.1996,Астронавт,місто Свалява,"проспект Кутузова, буд. 557 кв. 3, Шостка, 90688",013 450 86 87,telizhenkovalerii@example.net
Лукаш,Герман,Андрійович,Чоловіча,15.08.1958,Ді-джей,хутір Амвросіївка,"узвіз Центральна, буд. 236 кв. 85, Корсунь-Шевченківський, 89020",+380 28 365-74-65,omelianvitruk@example.org
Жадан,Роман,Віталійович,Чоловіча,13.03.2001,Драматург,хутір Новоукраїнка,"набережна Шостої 2-й, буд. 987, Новоазовськ, 07369",+380 18 752-27-88,levko08@example.org
Атаманюк,Руслан,Володимирович,Чоловіча,16.08.1995,Гінеколог,село Гребінка,"вулиця Лазурний 4-й, буд. 1 кв. 7, Благовіщенське, 27985",078 047-01-40,tbazavluchenko@example.org
Саченко,Тимофій,Станіславович,Чоловіча,08.02.1964,Антрополог,селище Севастополь,"площа 12-та Суворовська, буд. 89, Кропивницький, 73912",+380 (21) 572-67-37,liuboviemets@example.net
Онищенко,Юхим,Остапович,Чоловіча,26.01.1981,Модельєр,хутір Боково-Хрустальне,"вулиця Катерининська, буд. 273 кв. 13, Ковель, 80559",+380 99 007-32-94,shchorshalyna@example.org
Чуйко,Ростислав,Богуславович,Чоловіча,11.05.1996,Різноробочий,місто Батурин,"шосе Чорноморський 5-й, буд. 76, Миронівка, 45778",027 718 51 93,vhrechko@example.com
Савенко,Панас,Леонтійович,Чоловіча,18.05.1986,Гірник,хутір Новодружеськ,"провулок Леха Качинського, буд. 555, Судак , 33535",035 378-03-56,mykhailomedvedenko@example.com
Аврамчук,Аарон,Алевтинович,Чоловіча,14.12.1958,Штукатур,селище Нововолинськ,"провулок Грецька, буд. 75 кв. 291, Сокаль, 65140",049 037-31-75,chervonenkodaryna@example.org
Савенко,Марко,Данилович,Чоловіча,24.10.1945,Ювелір,місто Вільногірськ,"провулок Нахімова, буд. 0 кв. 7, Федорівка, 90821",+380 21 707-27-85,aronetsanita@example.net
Гречко,Остап,Данилович,Чоловіча,20.09.1958,Підприємець,село Чигирин,"вулиця Ялинковий, буд. 514 кв. 892, Попасна, 67603",533-72-06,korzhvarvara@example.org
Чуприна,Станіслав,Давидович,Чоловіча,20.05.1959,Палеонтолог,хутір Червоносів,"парк Чумацька, буд. 31, Енергодар, 53378",955 32 71,zzhuchenko@example.net
Вергун,Зиновій,Миронович,Чоловіча,15.07.2002,Гінеколог,місто Мерефа,"проспект Желябова, буд. 904 кв. 84, Надвірна, 14424",+380 82 667-01-37,edyta33@example.org
Ісаєвич,Пармен,Амвросійович,Чоловіча,04.09.1957,Дипломат,селище Ківерці,"узвіз Північний, буд. 284, Зимогір'я, 19490",498-41-30,taras09@example.net
Петренко,Борис,Зиновійович,Чоловіча,02.02.1973,Локсмайстер,місто Ватутіне,"площа Магнітогорська, буд. 627 кв. 4, Герца, 72944",+380 08 991 48 19,deriazhnyivolodymyr@example.com
Супруненко,Арсен,Захарович,Чоловіча,19.11.1987,Пілот,хутір Іллінці,"вулиця Картамишевський, буд. 79 кв. 330, Сімферополь, 37845",+380 94 069-10-11,drozdenkolevko@example.org
Василашко,Аврелій,Мартинович,Чоловіча,25.12.2004,Стиліст,село Хмельницький,"вулиця Тіниста, буд. 8, Радомишль, 03904",948-26-40,amaliia07@example.com
Девдюк,Святослав,Симонович,Чоловіча,24.01.1966,Мікробіолог,місто Ромни,"площа Марата 1-й, буд. 83 кв. 218, Луцьк, 16965",067 382 49 02,eduardkozachenko@example.com
Єрьоменко,Макар,Алевтинович,Чоловіча,17.06.1979,Геофізик,місто Хотин,"площа Пересипська 7-ма, буд. 8 кв. 9, Заводське, 53384",562 37 91,ivasiukprokhir@example.net
Удовиченко,Руслан,Олександрович,Чоловіча,21.08.1981,Гінеколог,місто Красногорівка,"набережна Яблочкіної, буд. 18, Луганськ, 06636",058-49-76,avhustyn08@example.net
Кибкало,Ярослав,Болеславович,Чоловіча,20.03.2005,Фрілансер,село Хмільник,"набережна Лінія 38-ма, буд. 982 кв. 629, Старобільськ, 49360",747-02-64,uartymyshyn@example.com
Михалюк,Богодар,Йосипович,Чоловіча,12.02.1986,Випробувач,селище Алмазна,"площа Розкидайлівська, буд. 5 кв. 662, Ромни, 48469",019 857 05 42,vteslenko@example.com
Забіла,Давид,Григорійович,Чоловіча,09.07.1953,Соціолог,місто Українськ,"проспект Ламаний, буд. 7, Черкаси, 34154",037 431 45 19,poltavetsstepan@example.com
Лесик,Віктор,Тарасович,Чоловіча,21.04.2003,Євнух,селище Горішні Плавні,"площа Заводська 5-та, буд. 06 кв. 4, Кальміуське, 77297",+380 (04) 921-29-29,ykozak@example.com
Затовканюк,Валерій,Болеславович,Чоловіча,15.08.1947,Журналіст,селище Теплодар,"набережна Шишкіна 2-й, буд. 16 кв. 77, Рогатин, 94399",042 562-29-04,vitalii96@example.org
Демʼянюк,Теодор,Павлович,Чоловіча,18.03.1964,Філолог,хутір Яготин,"вулиця Прирейкова, буд. 6 кв. 69, Стрий, 36551",623-64-10,davydvysochan@example.com
Верменич,Симон,Гордійович,Чоловіча,17.05.1990,Мірошник,село Ізюм,"набережна Маринеско узвіз, буд. 1, Свалява, 66343",+380 34 185-03-70,iaryna52@example.net
Ісаєвич,Левко,Назарович,Чоловіча,13.09.1942,Психолог,хутір Кальміуське,"сквер Естонська, буд. 9 кв. 09, Лиман , 16851",030 651-98-18,xderhach@example.net
Михалюк,Святослав,Данилович,Чоловіча,12.12.1939,Паралегал,село Жидачів,"набережна Чернівецький, буд. 7, Кам'янка-Бузька, 05873",+380 53 695 35 75,tryhubbohdanna@example.org
